,bigram,frequency
1344,j_œ,2
1345,j_m,2
1346,j_h,2
1347,iː_ʏ,2
1348,iː_a͜u,2
1349,g_ɔi,2
1350,g_h,2
1351,ɛː_ʊ,2
1352,ɛː_oː,2
1353,ɛː_eː,2
1354,ɛː_aː,2
1355,ɛ_b,2
1356,ə_ʔ,2
1357,d_a͜i,2
1358,ç_a͜i,2
1359,b_ʔ,2
1360,ɐ_ə,2
1361,au_ɔ,2
1362,au_ŋ,2
1363,a͜u_b,2
1364,a͜i_ʃ,2
1365,a͜i_r,2
1366,a͜i_d,2
1367,a͜i_ç,2
1368,aː_ŋ,2
1369,a_iː,2
1370,p:_ʏ,2
1371,p:_œ,2
1372,p:_øː,2
1373,ʔ_eː,1
1374,z_ʔ,1
1375,z_ʃ,1
1376,z_s,1
1377,z_f,1
1378,z_ɛː,1
1379,z_ç,1
1380,z_b,1
1381,ʏ_z,1
1382,yː_yː,1
1383,yː_ɔ,1
1384,x_ʏ,1
1385,x_øː,1
1386,v_p,1
1387,v_ŋ,1
1388,v_g,1
1389,v_d,1
1390,v_au,1
1391,v__p:_,1
1392,uː_ə,1
1393,t_sich,1
1394,t_ŋ,1
1395,t_bei,1
1396,t_a͜u,1
1397,ʃ_ʔ,1
1398,sich_z,1
1399,s_ŋ,1
1400,p_ɔ͜y,1
1401,ɔ͜y_t,1
1402,ɔ͜y_l,1
1403,ɔi_v,1
1404,ɔi_uː,1
1405,ɔi_p,1
1406,ɔi_ɔi,1
1407,ɔi_œ,1
1408,ɔi_ŋ,1
1409,ɔi_j,1
1410,ɔi_ai,1
1411,ɔi_p:,1
1412,œ_ʊ,1
1413,œ_ɪ,1
1414,œ_ɛː,1
1415,œ_b,1
1417,oː_ʔ,1
1418,oː_ʏ,1
1419,øː_yː,1
1420,øː_p,1
1421,oː_œ,1
1422,øː_oː,1
1423,ŋ_ŋ,1
1424,ŋ_ç,1
1425,m_ŋ,1
1426,m_a͜u,1
1427,l_ɔ͜y,1
1428,k_ŋ,1
1429,j_z,1
1430,j_v,1
1431,j_ɔi,1
1432,j_j,1
1433,j_f,1
1434,j_d,1
1435,j_au,1
1436,h_s,1
1437,h_n,1
1438,h_d,1
1439,h_p:,1
1440,f_ŋ,1
1441,ɛː_uː,1
1442,ɛː_ɛ,1
1443,ɛ_v,1
1444,ɛ_ɪ,1
1445,ɛ_au,1
1446,ə_ə,1
1447,ə_a͜u,1
1448,ə_a͜i,1
1449,eː_œ,1
1450,eː_øː,1
1452,d_t,1
1453,d_s,1
1454,d_øː,1
1455,d_g,1
1456,d_a͜u,1
1457,ɐ_a͜i,1
1458,au_œ,1
1459,a͜u_m,1
1460,a͜u_h,1
1461,a͜u_ɐ,1
1462,a͜u_p:,1
1463,ai_œ,1
1464,a͜i_m,1
1465,a͜i_j,1
1466,a͜i_ɪ,1
1467,ai_ɛː,1
1468,a͜i_b,1
1469,aː_ʏ,1
1470,aː_ɔi,1
1471,aː_øː,1
1472,aː_a͜u,1
1473,aː_a͜i,1
1474,a_ʔ,1
1475,a_yː,1
1476,a_øː,1
1477,a_ə,1
